unique_key,created_date,closed_date,agency,complaint_type,descriptor,location_type,incident_zip,city,borough,latitude,longitude,anomaly_score,anomaly
68646324,2026-04-12T08:31:04.000,,DOT,Street Sign - Damaged,Stop,Street,11361.0,BAYSIDE,QUEENS,40.76232340142283,-73.7846772349579,-0.31803647465588847,1
68641827,2026-04-13T00:06:13.000,,DCWP,Consumer Complaint,Gas Station Pumps,Business,11101.0,LONG ISLAND CITY,QUEENS,40.74487242482699,-73.94805376284786,-0.31803070657790866,1
68647106,2026-04-12T19:11:34.000,,HPD,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10303.0,STATEN ISLAND,STATEN ISLAND,40.63141731413054,-74.16528686969129,-0.31789568492198533,1
68634541,2026-04-12T01:52:13.000,2026-04-12T09:46:33.000,DHS,Homeless Person Assistance,Non-Chronic,Other,10013.0,NEW YORK,MANHATTAN,40.71645943176269,-74.0023267359905,-0.31785521435239417,1
68646413,2026-04-12T17:14:44.000,,DOT,Highway Condition,Pothole - Highway,Highway,,,MANHATTAN,,,-0.31784333787207736,1
68645363,2026-04-12T10:33:27.000,,DCWP,Consumer Complaint,Online or Mail Order,Business,11355.0,FLUSHING,QUEENS,40.75232384510539,-73.8267361725272,-0.31778254966685243,1
68639234,2026-04-12T18:50:22.000,,TLC,Lost Property,Bag/Wallet,Taxi,10001.0,,MANHATTAN,40.7515235264882,-73.99394730218468,-0.3177450291112496,1
68639338,2026-04-12T20:03:00.000,2026-04-13T00:14:00.000,DSNY,Derelict Vehicles,Derelict Vehicles,Street,11101.0,LONG ISLAND CITY,QUEENS,40.7415634133253,-73.93420975072242,-0.31770589076996636,1
68645366,2026-04-12T15:20:03.000,,DOHMH,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11385.0,RIDGEWOOD,QUEENS,40.70277455818304,-73.90654931500119,-0.31768767137074455,1
68639414,2026-04-12T18:30:55.000,,DOT,Highway Condition,Pothole - Highway,Highway,,,STATEN ISLAND,,,-0.31752656470060303,1
68637109,2026-04-12T00:47:19.000,,DSNY,Illegal Posting,Poster or Sign,Street,11418.0,RICHMOND HILL,QUEENS,40.69841220017516,-73.84270825715117,-0.317394703725729,1
68643033,2026-04-12T17:12:00.000,2026-04-12T17:17:00.000,DEP,Sewer,Street Flooding (SJ),,11691.0,FAR ROCKAWAY,QUEENS,40.59925134284534,-73.74485366424386,-0.31738377124170764,1
68643616,2026-04-12T19:01:58.000,,HPD,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10308.0,STATEN ISLAND,STATEN ISLAND,40.55701393116747,-74.16142128987349,-0.3173800779901065,1
68645375,2026-04-12T12:40:48.000,,DOT,Highway Condition,High Grass,Highway,,,QUEENS,,,-0.3173795683322192,1
68643293,2026-04-12T14:02:51.000,2026-04-12T14:55:32.000,NYPD,Drinking,In Public,Park/Playground,10468.0,BRONX,BRONX,40.86277257637668,-73.90554358725367,-0.3173691048023511,1
68640502,2026-04-12T13:13:07.000,,TLC,Taxi Complaint,Driver Complaint - Passenger,Highway,11430.0,JAMAICA,QUEENS,40.64832048620134,-73.78828125130184,-0.3173373028464154,1
68640347,2026-04-12T17:15:32.000,,DPR,Damaged Tree,Tree Leaning/Uprooted,Street,10009.0,NEW YORK,MANHATTAN,40.7255807057983,-73.9768485138281,-0.3173291464080768,1
68644258,2026-04-12T10:42:00.000,,DEP,Water System,Hydrant Leaking (WC1),,11367.0,FLUSHING,QUEENS,40.74017286455007,-73.82495262846538,-0.31728549255331806,1
68640886,2026-04-12T10:55:45.000,2026-04-12T10:55:45.000,DOB,Building/Use,Illegal Conversion Of Residential Building/Space,,11367.0,FLUSHING,QUEENS,40.723696240571655,-73.81625434761757,-0.3172762305056503,1
